N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr2:186781308	0.37	0.29	0.34	0.48	0.46	0.26	0.44	0.39	0.35	0.38	0.37	0.21	0.36	0.54	0.39	0.48	0.17	0.26	0.54	0.4	0.31	0.28	0.46	0.44	0.34	0.25	0.33	0.32	0.25	0.23	0.25	0.43	0.44	0.13	0.53	0.68	0.35	0.3	0.44	0.25	0.5	0.58	0.31	0.37	0.23	0.34	0.42	0.4	0.24	0.43	0.22	0.15	0.38	0.56	0.54	0.36	0.61	0.48	0.2	0.65	0.36	0.13	0.45	0.23	0.35	0.41	0.41	0.42	0.52	0.42	0.14	0.33	0.39	0.46	0.6	0.55	0.34	0.34	0.37	0.23	0.45	0.22	0.37	0.56	0.36	0.5	0.72	0.34	0.41	0.48	0.47	0.38	0.37	0.3	0.52	0.7	0.08	0.32	0.36	0.45	0.34	0.39	0.42	0.4	0.32	0.41	0.22	0.55	0.45	0.39	0.5	0.38	0.13	0.36	0.33	0.59	0.58	0.56	0.33	0.52	0.31	0.23	0.33	0.38	0.29	0.33	0.27	0.16
chr2:188983622	0.77	0.85	0.36	0.75	0.55	0.37	0.45	0.24	0.64	0.6	0.38	0.55	0.33	0.34	0.97	0.81	0.45	0.78	0.82	0.66	0.4	0.68	0	0.36	0.76	0.32	0.52	0.73	0.73	0.28	0.83	0.61	0.8	0.9	0.47	0.75	0.81	0.84	0.73	0.71	0.63	0.62	0.35	0.69	0.69	0.69	0.23	0.41	0.81	0.29	0.76	0.33	0.15	0.48	0.45	0.68	0.68	0.3	0.76	0.74	0.75	0.78	0.75	0.55	0.74	0.19	0.79	0.75	0.42	0.3	0.17	0.68	0.61	0.06	0.38	0.76	0	0.74	0.7	0.85	0	0.87	0.8	0.4	0.29	0.72	0.37	0.61	0.41	0.37	0.76	0	0.63	0.76	0.79	0.73	0.33	0.26	0.65	0.39	0.86	0.36	0.9	0.64	0.69	0.6	0.8	0	0.45	0.62	0.72	0.68	0.33	0.65	0.83	0.63	0.57	0.32	0.26	0.68	0.22	0.79	0.55	0.43	0.55	0.36	0.37	0.81
chr2:189110286	0.65	0	0.29	0.67	0.21	0.38	0.41	0.29	0.25	0.78	0.54	0.44	0.83	0.43	0.46	0.68	0.29	0.47	0.62	0.52	0.1	0.37	0.67	0.31	0.25	0.35	0.47	0.48	0.67	0.18	0.71	0.39	0.88	0.24	0.36	0.28	0.5	0.54	0.47	0.58	0.43	0.33	0.36	0.31	0.37	0.41	0.33	0.24	0.42	0.41	0.29	0.56	0.4	0.12	0.43	0.48	0.12	0.35	0.48	0.5	0.54	0.33	0.61	0.36	0.44	0.56	0.33	0.26	0.59	0.33	0.45	0.36	0.63	0.47	0.53	0.5	0.8	0.45	0.32	0.38	0.41	0.39	0.27	0.69	0.3	0.46	0.5	0.32	0.39	0.59	0.5	0.72	0.29	0.42	0.35	0.62	0.3	0.57	0.32	0.47	0.64	0.58	0.33	0.22	0.43	0.47	0.79	0.44	0.36	0.36	0.33	0.4	0.89	0.53	0.23	0.42	0.6	0.86	0.39	0.4	0.38	0.09	0.29	0.29	0.38	0.12	0.5	0.28
chr2:189633654	0.23	0.57	0.22	0.62	0.2	0	0.38	0.29	0	0.53	0.24	0.42	0.42	0.44	0.24	0.5	0.33	0.58	0.53	0.75	0.58	0.28	0.36	0.5	0.47	0.71	0.39	0.47	0.42	0.5	0.82	0.5	0.6	0.31	0.44	0.87	0.5	0.53	0.65	0.46	0.53	0.29	0.55	0.38	0.56	0.56	0.57	0.59	0	0.35	0.52	0.69	0.47	0.67	0.69	0.55	0.86	0.5	0.7	0.83	0.55	0.45	0.69	0.41	0.61	0.71	0.28	0.33	0.54	0.71	0.3	0.44	0.47	0.35	0.45	0.54	0.5	0.67	0.47	0.36	0.58	0.4	0.53	0.71	0.4	0.58	0.54	0.47	0.47	0.9	0.31	0.62	0.48	0.56	0.41	0.64	0.5	0.5	0.64	0.73	0.67	0.86	0.7	0.5	0.36	0.58	0.5	0.39	0.71	0.69	0.53	0.27	0.5	0.58	0.62	0.58	0	0.22	0.47	0.69	0.36	0	0.5	0.33	0.56	0.64	0.6	0.36
chr2:193241301	0.5	0.38	0.08	0.18	0.36	0.29	0.68	0.47	0.41	0.33	0.28	0.23	0.47	0.7	0.17	0.37	0.14	0.17	0.17	0.5	0.43	0.14	0.47	0.22	0.33	0.31	0.19	0.55	0.54	0.37	0.22	0.12	0.3	0.33	0.2	0.36	0.58	0.25	0.38	0.42	0.5	0.42	0.32	0.3	0.24	0.16	0.27	0.25	0.58	0.1	0.12	0.43	0.52	0.29	0.19	0	0.37	0.28	0.67	0.45	0.13	0.24	0.4	0.08	0.38	0.29	0.41	0.12	0.39	0.25	0.5	0.37	0.54	0.23	0.5	0.46	0	0.32	0.24	0.3	0.43	0.16	0.2	0.64	0	0.33	0.23	0.24	0.43	0.35	0.39	0.14	0.4	0.5	0.25	0.71	0.4	0.1	0.38	0.43	0	0.12	0.2	0.31	0.21	0.32	0.38	0.19	0.27	0.43	0.19	0	0.56	0.43	0.42	0.13	0	0.43	0.39	0.4	0.19	0.2	0.47	0.21	0.64	0.41	0.63	0.6
chr2:196240397	0.62	0.69	0.69	0.65	0.59	0.74	0.53	0.7	0.63	0.55	0.83	0.74	0.73	0.62	0.75	0.2	0.59	0.77	0.67	0.77	0.85	0.7	0.74	0.71	0.65	0.57	0.55	0.7	0.65	0.76	0.83	0.56	0.53	0.76	0.88	0.82	0.41	0.67	0.56	0.64	0.43	0.61	0.61	0.93	0.74	0.56	0.77	0.68	0.62	0.7	0.85	0.71	0.76	0.81	0.71	0.91	0.96	0.59	0.63	0.79	0.85	0.65	0.56	0.8	0.7	0.54	0.76	0.67	0.71	0.75	0.47	0.71	0.56	0.8	0.67	0.84	0.5	0.6	0.73	0.6	0.74	0.82	0.56	0.65	0.38	0.8	0.71	0.86	0.56	0.67	0.86	0.84	0.89	0.43	0.65	0.6	0.79	0.69	0.7	0.72	0.79	0.81	0.78	0.57	0.78	0.46	0.62	0.79	0.88	0.72	0.39	0.73	0.76	0.65	0.67	0.83	0	0.44	0.65	0.73	0.87	0.67	0.69	0.42	0.53	0.83	0.63	0.6
chr2:196613524	0.67	0.94	0.66	0.86	0.65	0.69	0.55	0.53	0.66	0.71	0.63	0.69	0.56	0.65	0.6	0.73	0.79	0.47	0.48	0.95	0.54	0.56	0.71	0.79	0.75	0.64	0.62	0.61	0.77	0.76	0.67	0.68	0.65	0.58	0.65	0.92	0.74	0.7	0.77	0.6	0.61	0.6	0.59	0.71	0.72	0.57	0.76	0.75	0.71	0.49	0.58	0.67	0.73	0.72	0.73	0.63	0.59	0.8	0.52	0.94	0.77	0.72	0.85	0.6	0.53	0.5	0.61	0.65	0.61	0.5	0.74	0.62	0.7	0.68	0.95	0.84	0.58	0.69	0.56	0.67	0.76	0.72	0.73	0.7	0.66	0.71	0.76	0.74	0.79	0.57	0.75	0.74	0.65	0.71	0.67	0.9	0.68	0.57	0.84	0.85	0.85	0.82	0.73	0.83	0.54	0.68	0.77	0.78	0.74	0.59	0.68	0.71	0.69	0.6	0.7	0.53	0.9	0.59	0.72	0.71	0.68	0.69	0.71	0.56	0.65	0.75	0.68	0.84
chr2:196719512	0.33	0.79	0.56	0.57	0.65	0.45	0.52	0.4	0.54	0.71	0.52	0.5	0.94	0.76	0.71	0.67	0.75	0.72	0.59	0.55	0.61	0.57	0.33	0.59	0.41	0.7	0.53	0.52	0.61	0.59	0.62	0.6	0.67	0.72	0.52	0.68	0.58	0.62	0.5	0.57	0.71	0.87	0.77	0.47	0.48	0.47	0.38	0.63	0.67	0.68	0.5	0.61	0.36	0.59	0.79	0.41	0.83	0.88	0.35	0.55	0.71	0.62	0.46	0.66	0.57	0.59	0.5	0.51	0.67	0.6	0.61	0.63	0.46	0.42	0.62	0.48	0.85	0.61	0.61	0.57	0.53	0.71	0.59	0.53	0.74	0.83	0.67	0.49	0.53	0.45	0.56	0.38	0.67	0.56	0.71	0.93	0.7	0.44	0.59	0.33	0.54	0.5	0.62	0.65	0.67	0.54	0.53	0.56	0.63	0.76	0.55	0.46	0.78	0.48	0.53	0.42	0.67	0.67	0.26	0.73	0.48	0.52	0.49	0.67	0.49	0.73	0.55	0.81
chr2:196808868	0.39	0.27	0.4	0.45	0.12	0.34	0.4	0.47	0.33	0.33	0.22	0.48	0.09	0.42	0.44	0.34	0.42	0.14	0.26	0.31	0.31	0.33	0.48	0.18	0.27	0.13	0.28	0.29	0.27	0.33	0.58	0.07	0.23	0.3	0.23	0.23	0.42	0.52	0.48	0.58	0.26	0.29	0.3	0.18	0.21	0.48	0.35	0.25	0.46	0.27	0.3	0.48	0.34	0.41	0.42	0.23	0.14	0.33	0.32	0.33	0.47	0.46	0.25	0.42	0.42	0.33	0.33	0.31	0.24	0.32	0.27	0.26	0.27	0.56	0.43	0.35	0.27	0.47	0.43	0.26	0.47	0.53	0.38	0.27	0.12	0.54	0.46	0.27	0.56	0.22	0.44	0.25	0.27	0.62	0.42	0.21	0.25	0.33	0.45	0.2	0.31	0.43	0.32	0.36	0.26	0.53	0.42	0.39	0.37	0.42	0.37	0.12	0.28	0.29	0.4	0.23	0.5	0.31	0.31	0.5	0.41	0.28	0.1	0.36	0.26	0.22	0.39	0.54
chr2:197075935	0.62	0.73	0.54	0.86	0.58	0.41	0.85	0.72	0.79	0.67	0.86	0.61	0.2	0.73	0.61	0.81	0.61	0.46	0.69	0.74	0.9	0.55	0.89	0.81	0.82	0.79	0.77	0.56	0.67	0.89	0.73	0.71	0.57	0.77	0.76	0.8	0.67	0.57	0.67	0.75	0.61	0.83	0.94	0.62	0.5	0.65	0.55	0.53	0.71	0.8	0.68	0.64	0.57	0.74	0.83	0.67	0.76	0.63	0.9	0.89	0.76	0.82	0.83	0.43	0.46	0.71	0.91	0.59	0.77	0.5	0.8	0.72	0.79	0.67	0.85	0.92	0.82	0.53	0.7	0.78	1	0.75	0.58	0.47	0.69	0.74	0.62	0.7	0.75	0.56	0.75	0.56	0.68	0.75	0.5	0.79	0.81	0.75	0.59	0.88	0.55	0.8	0.62	0.75	0.8	0.83	0.71	0.71	0.67	0.53	0.67	0.83	0.86	0.8	0.84	0.83	0.83	0.62	0.8	0.82	0.58	0.75	0.85	0.5	0.7	0.9	0.63	0.89
chr2:197813408	0.28	0.35	0.26	0.31	0.29	0.24	0.21	0.22	0.25	0.11	0.28	0.33	0.1	0.34	0.13	0.24	0.26	0.25	0.37	0.29	0.2	0.1	0.19	0.16	0.27	0.29	0.19	0.26	0.32	0.35	0.23	0.23	0.18	0.28	0.29	0.32	0.23	0.39	0.32	0.29	0.23	0.32	0.41	0.13	0.29	0.23	0.13	0.31	0.17	0.32	0.3	0.32	0.17	0.2	0.47	0.12	0.27	0.3	0.21	0.12	0.44	0.17	0.18	0.15	0.25	0.27	0.43	0.32	0.37	0.26	0.34	0.24	0.29	0.24	0.19	0.5	0.14	0.31	0.16	0.23	0.24	0.19	0.37	0.34	0.25	0.54	0.21	0.21	0.16	0.19	0.28	0.31	0.11	0.1	0.3	0.38	0.24	0.22	0.34	0.18	0.26	0.39	0.26	0.33	0.27	0.25	0.31	0.4	0.22	0.2	0.26	0.22	0.36	0.17	0.31	0.31	0.3	0.24	0.29	0.33	0.21	0.29	0.24	0.29	0.25	0.27	0.17	0.2
chr2:198657717	0.26	0.27	0.25	0.26	0.33	0.46	0.24	0.23	0.42	0.18	0.22	0.41	0.33	0.3	0.35	0.26	0.15	0.27	0.3	0.44	0.34	0.17	0.37	0.34	0.38	0.16	0.24	0.21	0.3	0.29	0.26	0.3	0.21	0.27	0.41	0.24	0.31	0.35	0.26	0.17	0.15	0.31	0.39	0.34	0.21	0.09	0.2	0.2	0.32	0.24	0.2	0.29	0.5	0.45	0.37	0.26	0.61	0.29	0.23	0.24	0.36	0.31	0.36	0.35	0.25	0.27	0.24	0.21	0.23	0.23	0.15	0.35	0.2	0.27	0.25	0.25	0.31	0.34	0.19	0.28	0.27	0.34	0.26	0.32	0.23	0.34	0.11	0.24	0.27	0.28	0.31	0.21	0.21	0.12	0.35	0.46	0.29	0.13	0.04	0.53	0.32	0.27	0.38	0.18	0.25	0.23	0.17	0.2	0.32	0.27	0.31	0.19	0.22	0.26	0.34	0.25	0.33	0.35	0.3	0.38	0.15	0.17	0.36	0.18	0.33	0.36	0.46	0.26
chr2:198930669	0	0	0.57	1	0	0.67	0.71	0.75	0.57	0	0.5	0.56	0.71	0.5	0.6	0	0.62	0	0.78	0.57	0	0.62	0.6	0.6	0.86	0.67	0.29	0.33	0	0.83	0	0	0	0	0.4	0.8	0	0.8	0	0	0	0	0.33	0	0.89	0	0	0.75	0	0.45	0.7	0	0.71	0.6	0.5	0	0.67	0	0.6	0	0.44	0.57	0.83	0.5	0	0.4	0.62	0	0	0	0.29	0.71	0	0.64	0.33	0.6	0	0	0.57	0.29	0.8	0.43	0	0	0	0.36	0	0.71	0.44	0.69	0.57	0	0.29	0.12	0	0.57	0.8	0.29	0	0.6	1	0.56	0.83	0	0.55	0.33	0.3	0	0	0.71	0	0	0	0	0.71	0	0	0	0	0.83	0.44	0.6	0	0.86	0	0.75	0	0
chr2:199020327	0.58	0.5	0.5	0.69	0.5	0.43	0.69	0.62	0.6	0.69	0.56	0.41	0.48	0.65	0.69	0.52	0.55	0.55	0.77	0.55	0.74	0.7	0.54	0.56	0.62	0.76	0.5	0.53	0.62	0.51	0.36	0.5	0.38	0.58	0.74	0.46	0.32	0.68	0.75	0.47	0.59	0.38	0.54	0.71	0.52	0.6	0.59	0.57	0.47	0.5	0.76	0.61	0.42	0.4	0.81	0.64	0.71	0.58	0.76	0.61	0.68	0.69	0.45	0.68	0.62	0.49	0.56	0.53	0.57	0.5	0.5	0.46	0.47	0.55	0.5	0.52	0.5	0.62	0.71	0.58	0.48	0.58	0.58	0.52	0.84	0.7	0.56	0.59	0.66	0.55	0.26	0.64	0.56	0.46	0.5	0.6	0.52	0.57	0.4	0.88	0.5	0.6	0.59	0.64	0.52	0.59	0.66	0.67	0.63	0.49	0.61	0.45	0.5	0.55	0.58	0.61	0.45	0.45	0.67	0.67	0.57	0.64	0.63	0.58	0.41	0.48	0.44	0.5
chr2:199114808	0.48	0.32	0.54	0.48	0.4	0.44	0.33	0.59	0.71	0.4	0.6	0.67	0.48	0.7	0.47	0.4	0.29	0.35	0.46	0.49	0.53	0.48	0.6	0.59	0.57	0.48	0.5	0.61	0.45	0.62	0.58	0.37	0.33	0.51	0.44	0.37	0.45	0.51	0.48	0.55	0.45	0.41	0.41	0.65	0.43	0.58	0.51	0.54	0.5	0.67	0.6	0.56	0.76	0.49	0.53	0.52	0.74	0.61	0.47	0.56	0.67	0.49	0.66	0.49	0.55	0.59	0.49	0.53	0.58	0.6	0.48	0.6	0.51	0.55	0.65	0.69	0.51	0.64	0.51	0.47	0.47	0.55	0.49	0.52	0.54	0.27	0.64	0.5	0.48	0.47	0.47	0.56	0.62	0.62	0.57	0.73	0.55	0.38	0.48	0.34	0.64	0.45	0.47	0.66	0.51	0.62	0.44	0.66	0.56	0.57	0.58	0.57	0.4	0.48	0.45	0.62	0.71	0.31	0.63	0.59	0.57	0.6	0.52	0.58	0.53	0.7	0.46	0.51
chr2:199596946	0.47	0.6	0.58	0.48	0.76	0.81	0.57	0.64	0.36	0.47	0.7	0.69	0.5	0.42	0.42	0.68	0.52	0.33	0.83	0.89	0.71	0.42	0.65	0.53	0.67	0.5	0.7	0.46	0.71	0.66	0.55	0.73	0.33	0.86	0.29	0.75	0.42	0.69	0.71	0.55	0.58	0.85	0.67	0.62	0.75	0.5	0.78	0.82	0.44	0.45	0.71	0.64	0.61	0.55	0.65	0.71	0.32	0.63	0.44	0.69	0.39	0.67	0.38	0.81	0.5	0.73	0.81	0.31	0.52	0.75	0.54	0.47	0.79	0.53	0.68	0.38	1	0.64	0.57	0.44	0.83	0.54	0.64	0.5	0.33	0.68	0.5	0.5	0.64	0.5	0.57	0.62	0.77	0.67	0.77	0.78	0.48	0.35	0.74	0.69	0.57	0.84	0.45	0.65	0.52	0.77	0.7	0.44	0.72	0.77	0.58	0.6	0.36	0.79	0.58	0.74	0.57	0.88	0.39	0.82	0.58	0.67	0.52	0.6	0.69	0.73	0.74	0.67
chr2:199606706	0.67	0.47	0.62	0.79	0.47	0.79	0.52	0.62	0.76	0.53	0.64	0.6	0.67	0.63	0.65	0.58	0.35	0.5	0.47	0.74	0.67	0.96	0.5	0.57	0.72	0.72	0.68	0.7	0.52	0.56	0.58	0.54	0.32	0.56	0.73	0.78	0.69	0.6	0.39	0.58	0.53	0.45	0.7	0.62	0.53	0.61	0.54	0.74	0.7	0.63	0.7	0.63	0.65	0.6	0.71	0.6	0.77	0.64	0.73	0.82	0.67	0.57	0.79	0.47	0.53	0.54	0.57	0.35	0.54	0.5	0.58	0.46	0.77	0.71	0.55	0.72	0.42	0.74	0.59	0.4	0.69	0.9	0.8	0.5	0.56	0.71	0.68	0.7	0.56	0.69	0.61	0.77	0.52	0.68	0.67	0.44	0.35	0.33	0.58	0.64	0.62	0.63	0.86	0.73	0.55	0.41	0.44	0.62	0.81	0.63	0.77	0.77	0.29	0.7	0.71	0.7	0	0.8	0.5	0.6	0.59	0.57	0.45	0.61	0.62	0.76	0.67	0.6
chr2:199861116	0.54	0.65	0.69	0.64	0.56	0.54	0.61	0.57	0.56	0.58	0.55	0.64	0.57	0.7	0.44	0.71	0.68	0.28	0.56	0.63	0.71	0.67	0.58	0.6	0.56	0.64	0.67	0.38	0.58	0.69	0.53	0.69	0.5	0.55	0.43	0.56	0.62	0.6	0.5	0.5	0.34	0.59	0.63	0.54	0.67	0.54	0.56	0.65	0.68	0.55	0.59	0.51	0.53	0.64	0.69	0.51	0.7	0.71	0.6	0.73	0.52	0.53	0.51	0.68	0.68	0.68	0.58	0.57	0.52	0.54	0.6	0.54	0.6	0.65	0.51	0.72	0.57	0.59	0.46	0.43	0.61	0.73	0.7	0.82	0.82	0.74	0.5	0.47	0.54	0.71	0.73	0.59	0.52	0.75	0.42	0.32	0.67	0.5	0.71	0.62	0.5	0.69	0.62	0.59	0.4	0.42	0.59	0.71	0.58	0.63	0.79	0.46	0.42	0.73	0.69	0.56	0.65	0.58	0.55	0.6	0.37	0.7	0.48	0.41	0.72	0.62	0.61	0.6
chr2:199985710	0.53	0.43	0.27	0.5	0.5	0.58	0.77	0.26	0.54	0.5	0.31	0.31	0.64	0.9	0.5	0.62	0.6	0.33	0.56	0.35	0.86	0.64	0.67	0.44	0.54	0.55	0.57	0.38	0.62	0.67	0.5	0.38	0.38	0	0.6	0.58	0.5	0.53	0.67	0.45	0.5	0.82	0.52	0.47	0.61	0.73	0.67	0.42	0.44	0.5	0.77	0.62	0.5	0.36	0.64	0.8	0.6	0.64	0.43	0.46	0.45	0.6	0.71	0.5	0.5	0.3	0.43	0.69	0.45	0.4	0.46	0.37	0.38	0.43	0.43	0.64	0.22	0.41	0.23	0.41	0.61	0.53	0.54	0.79	0.43	0.62	0.67	0.53	0.42	0.5	0.5	0.69	0.64	0.85	0.56	0.64	0.45	0.4	0.77	0.86	0.45	0.58	0.53	0.6	0.46	0.5	0.33	0.47	0.56	0.25	0.3	0.46	0.29	0.45	0.7	0.5	0.8	0.82	0.61	0.42	0.47	0.5	0.53	0.4	0.31	0.54	0.69	0
chr2:200483523	0.58	0.65	0.52	0.33	0.64	0.35	0.56	0.5	0.39	0.68	0.23	0.7	0.57	0.35	0.44	0.65	0.65	0.29	0.23	0.52	0.46	0.24	0.54	0.36	0.58	0.47	0.75	0.53	0.55	0.5	0.56	0.43	0.48	0.83	0.24	0.33	0.76	0.38	0.46	0.57	0.53	0.73	0.5	0.59	0.46	0.55	0.53	0.33	0.7	0.46	0.14	0.43	0.61	0.52	0.29	0.31	0.2	0.78	0.65	0.5	0.39	0.31	0.73	0.31	0.74	0.29	0.39	0.32	0.46	0.29	0.64	0.59	0.71	0.52	0.54	0.59	0.5	0.36	0.38	0.4	0.59	0.4	0.41	0.81	0.5	0.33	0.57	0.5	0.75	0.44	0.4	0.4	0.58	0.67	0.69	0.76	0.41	0.6	0.48	0.86	0.25	0.45	0.55	0.54	0.43	0.35	0.66	0.53	0.32	0.4	0.4	0.1	0.37	0.54	0.54	0.46	0.33	0.94	0.46	0.55	0.32	0.43	0.5	0.24	0.55	0.41	0.7	0.67
chr2:200967047	0.45	0.46	0.46	0.63	0.41	0.56	0.4	0.62	0.48	0.44	0.29	0.41	0.32	0.59	0.42	0.5	0.64	0.6	0.69	0.43	0.54	0.4	0.5	0.37	0.48	0.58	0.51	0.53	0.58	0.65	0.39	0.48	0.68	0.65	0.67	0.76	0.43	0.61	0.39	0.31	0.38	0.6	0.62	0.62	0.47	0.52	0.47	0.51	0.58	0.54	0.5	0.38	0.52	0.63	0.51	0.54	0.45	0.42	0.78	0.49	0.44	0.58	0.28	0.53	0.5	0.37	0.46	0.45	0.59	0.47	0.69	0.56	0.62	0.32	0.28	0.62	0.42	0.44	0.61	0.3	0.67	0.64	0.64	0.49	0.62	0.6	0.34	0.58	0.39	0.61	0.41	0.58	0.5	0.43	0.59	0.65	0.45	0.6	0.34	0.61	0.59	0.45	0.38	0.61	0.59	0.59	0.53	0.63	0.55	0.52	0.48	0.6	0.61	0.59	0.61	0.63	0.56	0.34	0.5	0.44	0.63	0.74	0.62	0.55	0.64	0.85	0.47	0.56
chr2:201345150	0.64	0.75	0.41	0.54	0.53	0.55	0.69	0.45	0.67	0.54	0.61	0.72	0.7	0.67	0.74	0.75	0.59	0.56	0.56	0.39	1	0.4	1	0.57	0.69	0.5	0.5	0.5	0.38	0.54	0.57	0.65	0.8	0.45	0.68	0.38	0.57	0.77	0.64	0.72	0.52	0.55	0.58	0.4	0.89	0.56	0.7	0.32	0.58	0.71	0.46	0.69	0.42	0.85	0.5	0.44	0.6	0.92	0.76	0.85	0.69	0.56	0.81	0.54	0.53	0.46	0.47	0.56	0.47	0.65	0.53	0.71	0.39	0.48	0.58	0.42	0	0.78	0.5	0.47	0.74	0.68	0.42	0.65	0.31	0.53	0.91	0.63	0.86	0.65	0.64	0.52	0.58	0.53	0.5	0.75	0.67	0.6	0.67	0.45	0.55	0.6	0.55	0.68	0.45	0.67	0.61	0.32	0.64	0.8	0.38	0.75	0.55	0.77	0.61	0.45	0	0.59	0.54	0.53	0.59	0.7	0.8	0.43	0.89	0.94	0.62	0.36
chr2:201680828	0.8	0.8	0	0.91	0	0	0.86	0.43	0.29	0.4	0.54	0.67	0.6	0.67	0.82	0	0.7	0.4	0.53	0.58	0	0.25	0.75	1	0.78	0	0.58	0	0	0.62	0	0.6	0.62	0	0	0.83	0.86	0.56	0.64	0.75	0.57	0	0.7	0.4	0.86	0.88	0.56	0.56	1	0.83	0.64	0.62	0.75	0.5	0.36	0.56	0.75	0.4	0.4	0.4	0.43	0.4	0	0.81	0.71	0.75	0.83	0.43	0	0.7	0.55	0.69	0	0.5	0.77	0.64	0.6	0.71	0.64	0.91	0.73	0.91	0	0.67	0	0.76	0.61	0.56	0	0.5	0.62	0.63	0.73	0.69	0.71	0	0	0.6	0.67	1	0	1	0.67	0.83	0.76	0.44	0.5	0.5	0.88	0.5	0.88	1	0	0.6	0.8	0.86	0	0.8	0.75	0.83	0.62	0	0.82	0.5	0	0.88	0.73	0
chr2:202104456	0.47	0.86	0.62	0.69	0.57	0.3	0.8	0.7	0.3	0.78	0.5	0.67	0.9	0.64	0.62	0.44	0.62	0.54	0.82	0.6	0.75	0.75	0.62	0.73	0.74	0.77	0.72	1	0.65	0.85	0.75	0.85	0.29	0.76	0.95	0.67	0.53	0.57	0.69	0.5	0.62	0.71	0.75	0.85	0.67	0.64	0.89	0.85	0.7	0.56	0.6	0.77	0.72	0.75	0.78	0.67	0.93	0.86	0.68	0.72	0.6	0.5	0.55	0.67	0.8	0.62	0.7	0.86	0.68	0.64	0.57	0.68	0.9	0.88	0.85	0.86	0.73	0.83	0.73	0.61	0.54	0.77	0.92	0.56	0.93	0.76	0.65	0.78	0.67	0.87	0.74	0.87	0.69	0.62	0.53	0.53	0.74	0.67	0.83	0.94	0.91	0.86	0.65	0.72	0.77	0.86	0.61	1	0.94	0.67	0.73	0.67	0.62	0.71	0.5	0.7	0.8	0.64	0.58	0.59	0.67	0.7	0.77	0.71	0.47	0.75	0.75	0.8
chr2:205539740	1	0	0	0	0.8	0	1	0	0	0	0.6	0.5	1	1	0.83	0	0	0	0.71	0.86	0	1	0.67	0.88	0.71	0	0.43	0	0	1	0	0	0	0	0	0.83	0	0	0	0	0.8	0	0	0	0.93	1	0	0.6	0.6	0	0.57	0	0.86	0.83	0.9	0.6	0	1	0.8	0	1	0.67	1	0.82	0	0.75	0.83	0.78	0	0	0.84	1	0	0.93	0.92	0	0	0	0.8	0.78	1	0.67	0	0.8	0	0.94	0.91	0	0	0.89	0.67	0.88	0.8	0.88	0	0	0.83	0.88	1	0	0	0.8	0.78	0	0.81	1	0	0	0	0.91	0	0	0.83	0	0.91	0	0	0	0.78	0	1	0	0.55	0.92	0	0.88	0.89	0
chr2:205696562	0.45	0	0.5	0	0.6	0.4	0.69	0.14	0.6	0.8	0	0.33	0	0	0.58	0.25	0.33	0	0.71	0.33	0	0.71	0.88	0.5	0.86	0.43	0.67	0	0	0.73	0.4	0.67	0	0	0.8	0.8	0.7	0	0	0.8	0.67	0.67	0	0.83	0.56	0.6	0.5	1	0.56	0.6	0.71	0.6	0.33	0	0.78	0.78	0	0.57	0.57	0	0.5	0.8	0	0.59	0.62	0.67	0.47	0.4	0.4	0	0.67	0.67	0	0.67	0.2	0.8	0	0.67	0.67	0.67	0.7	0.14	0	0.6	0	1	0.56	0.7	0	0.43	0	0.2	0	0.73	0.8	0	0.71	0.56	0.71	0	0	0.78	0.64	0	0.59	0.5	1	0.43	0.67	0.9	0.44	0	0	0	0.92	0.62	0	0.83	0.56	0.75	0	0	0.36	0.7	0	0.85	0.36	0.67
chr2:205720896	0.62	1	0	0.5	0.86	0	0.8	0	0.88	0.62	0.86	1	0.86	0	1	0	0	0	0.89	0.75	0	0.83	0.6	0	0.94	0.78	0.89	0.67	0	0	0	0.57	0	0	0	0	0.67	0	0	0	1	0.67	0.9	0	1	0	1	0	0.86	1	0.71	0	1	0.75	0	1	0.83	0	0.67	1	0	0.6	0	0.87	1	0	0	0.67	0.73	0.62	0.86	0.91	0	0.8	0.86	0.67	0.88	0	0.82	0.54	0.85	1	0	0	0.4	0.62	0.89	0.9	0	1	0.62	0.93	1	0.64	0	0	0	0.89	0.8	0	0	0	0.86	0.83	0.8	1	0.78	0.78	1	0.75	0	0	0	0	0.75	0	0	0	0.85	0.67	0	0.5	0.9	0.38	0	0.8	0.71	0
